"gene"	"ncpgs_orig"	"ncpgs"	"treatment.ratio"	"converged"	"p.value.treatment"	"p.value.inter"	"adj.p.value.treatment"	"adj.p.value.inter"
"SpisGene20107"	133	107	1.1180637574646	1	0.916633114368602	4.70921866963557e-11	1	3.25730768855355e-08
"SpisGene20108"	26	22	1	1	1	1	1	1
"SpisGene20109"	113	108	0.956127505251776	1	0.0154749504775681	1	0.0879616214356681	1
"SpisGene20110"	539	359	0.963923624758806	1	0.0343123107266134	1	0.149619520414275	1
"SpisGene20111"	41	36	1	1	1	1	1	1
"SpisGene20112"	14	7	0.738636363637904	1	0.0482993612289392	1	0.189482109436608	1
"SpisGene20117"	90	88	0.971744748391812	1	0.212544478622138	1	0.555819883013043	1
"SpisGene20118"	75	74	1	1	1	1	1	1
"SpisGene20119"	11	10	1	1	1	1	1	1
"SpisGene20120"	404	400	1	1	1	1	1	1
"SpisGene20121"	6	6	1.25705434564534	1	0.0138869402224828	1	0.0814450277913178	1
"SpisGene20122"	122	122	1	1	1	1	1	1
"SpisGene20124"	12	12	1	1	1	1	1	1
"SpisGene20125"	120	115	0.971711937590197	1	0.0395804785502537	1	0.164923628055594	1
"SpisGene20127"	156	155	1	1	1	1	1	1
"SpisGene20132"	53	37	0.969873041706917	1	0.49501516910203	0.000252349664102806	1	0.0117837710237373
"SpisGene20133"	86	86	1	1	1	1	1	1
"SpisGene20136"	16	10	1	1	1	1	1	1
"SpisGene20158"	51	50	0.964696748792864	1	0.0684472521499667	1	0.237686143565636	1
"SpisGene20159"	233	212	1	1	1	1	1	1
"SpisGene20161"	112	109	1	1	1	1	1	1
"SpisGene20163"	153	148	1	1	1	1	1	1
"SpisGene20164"	51	51	1	1	1	1	1	1
"SpisGene20166"	343	343	1	1	1	1	1	1
"SpisGene20167"	75	75	1	1	1	1	1	1
"SpisGene20174"	21	21	1	1	1	1	1	1
"SpisGene20175"	122	122	1.01883976903017	1	0.085144516322464	1	0.278620450071173	1
"SpisGene20176"	132	69	1	1	1	1	1	1
"SpisGene20177"	110	107	1	1	1	1	1	1
"SpisGene20180"	339	331	1.01054039360745	1	0.000893052627168174	1	0.0117659683629407	1
"SpisGene20181"	88	88	1	1	1	1	1	1
"SpisGene20182"	108	98	1	1	1	1	1	1
"SpisGene20188"	48	45	1.14518210068193	1	0.000767505658073686	1	0.0105012154070335	1
"SpisGene20192"	48	48	0.975291932640274	1	0.0220941705756483	1	0.112369570662086	1
"SpisGene20193"	78	69	1	1	1	1	1	1
"SpisGene20195"	52	52	1.02762550470102	1	0.0200018999077286	1	0.104960183157341	1
"SpisGene20196"	110	109	0.977347333024265	1	0.180457104105232	1	0.486864644352171	1
"SpisGene20197"	98	95	0.982007991872422	1	0.982662629923097	1	1	1
"SpisGene20199"	66	66	1	1	1	1	1	1
"SpisGene20200"	77	77	1	1	1	1	1	1
"SpisGene20201"	56	56	0.909902024459283	1	0.0170961473484742	1	0.0944598415903966	1
"SpisGene20202"	60	59	0.97134911237785	1	0.0289547178594844	1	0.133684548415066	1
"SpisGene20203"	133	124	1	1	1	1	1	1
"SpisGene20207"	79	76	1.04523257140394	1	0.00845757721719614	1	0.0578849765384723	1
"SpisGene20208"	60	57	1.0377053700664	1	0.022879502323566	1	0.114716308832249	1
"SpisGene20214"	42	32	0.930966476695988	1	0.00873472901023036	1	0.0590875866507621	1
"SpisGene20215"	63	28	1	1	1	1	1	1
"SpisGene20217"	12	5	1	1	1	1	1	1
"SpisGene20220"	38	33	1	1	1	1	1	1
"SpisGene20222"	1256	1193	0.989432606970301	1	0.0502634240399911	1	0.194702594977452	1
"SpisGene20224"	464	403	1	1	1	1	1	1
"SpisGene20225"	61	58	1.04488850875573	1	0.0629996748753403	1	0.225602556144488	1
"SpisGene20227"	160	153	1	1	1	1	1	1
"SpisGene20228"	43	42	1	1	1	1	1	1
"SpisGene20229"	123	122	1.01585185929212	1	0.139373599330509	1	0.396693865610922	1
"SpisGene20230"	58	58	1	1	1	1	1	1
"SpisGene20231"	15	15	1.02727497034226	1	0.158110898796613	1	0.437562719925511	1
"SpisGene20232"	124	121	1.04201639826224	1	0.00867899966544236	1	0.0588905513779586	1
"SpisGene20233"	182	172	1	1	1	1	1	1
"SpisGene20234"	40	32	1	1	1	1	1	1
"SpisGene20236"	143	141	0.98308671957347	1	0.112470355034243	1	0.340380013048634	1
"SpisGene20237"	232	206	1.02306598367766	1	0.101144656992726	1	0.31558159541542	1
"SpisGene20238"	39	25	0.820392196114911	1	0.00236342035237865	1	0.0230652319574731	1
"SpisGene20239"	93	68	0.907619598876142	1	0.00240631299279796	1	0.0234218697372867	1
"SpisGene20241"	174	139	0.965816203869443	1	0.295647508188916	1	0.734275353035622	1
"SpisGene20247"	115	109	1.08655847692177	1	5.74466016139475e-05	1	0.00153142417483513	1
"SpisGene20248"	75	71	1.07223763884453	1	2.04404162336269e-06	1	0.000116007223824384	1
"SpisGene20249"	29	22	1	1	1	1	1	1
"SpisGene20252"	36	34	1.05989475466293	1	0.0134257496242599	1	0.0797632133286224	1
"SpisGene20253"	164	140	1.01541127298553	1	0.64365712933863	1	1	1
"SpisGene20257"	79	79	0.951281657337233	1	0.116364368467917	1	0.348337697006879	1
"SpisGene20258"	47	46	1	1	1	1	1	1
"SpisGene20260"	84	82	1.00778046161711	1	0.0236070273791363	1.2490340289162e-09	0.116946719787333	4.93680699929126e-07
"SpisGene20261"	246	238	1	1	1	1	1	1
"SpisGene20262"	22	14	1	1	1	1	1	1
"SpisGene20264"	167	138	1	1	1	1	1	1
"SpisGene20269"	337	321	1.01706284292955	1	0.786426007858647	1	1	1
"SpisGene20270"	36	34	1.03883614172475	1	0.515076493535557	1	1	1
"SpisGene20274"	189	168	1	1	1	1	1	1
"SpisGene20275"	228	228	1	1	1	1	1	1
"SpisGene20276"	241	231	1.03396456277677	1	1.66790968572081e-05	1	0.000597370760254762	1
"SpisGene20277"	125	125	0.952477238999708	1	1.44468300767346e-05	1	0.000546736921313825	1
"SpisGene20278"	9	9	1	1	1	1	1	1
"SpisGene20279"	259	253	0.976601179085394	1	0.943336570160589	1	1	1
"SpisGene20280"	268	268	1	1	1	1	1	1
"SpisGene20281"	62	62	1.021100560338	1	0.129690955745737	1	0.377409888834625	1
"SpisGene20286"	30	29	0.926559194600489	1	0.00322104241928403	1	0.0288408385551912	1
"SpisGene20287"	32	31	1	1	1	1	1	1
